route_id,service_id,trip_id,direction_id,block_id
800,SA,33865,1,800S-  1
800,SA,33866,1,800S-  2
800,SA,33867,1,800S-  1
800,SA,33868,1,800S-  2
800,SA,33869,1,800S-  1
800,SA,33870,1,800S-  3
800,SA,33871,1,800S-  2
800,SA,33872,1,800S-  4
800,SA,33873,1,800S-  1
800,SA,33874,1,800S-  5
800,SA,33875,1,800S-  3
800,SA,33876,1,800S-  2
800,SA,33877,1,800S-  4
800,SA,33878,1,800S-  1
800,SA,33879,1,800S-  5
800,SA,33880,1,800S-  3
800,SA,33881,1,800S-  2
800,SA,33882,1,800S-  4
800,SA,33883,1,800S-  1
800,SA,33884,1,800S-  5
800,SA,33885,1,800S-  3
800,SA,33886,1,800S-  2
800,SA,33887,1,800S-  4
800,SA,33888,1,800S-  1
800,SA,33889,1,800S-  5
800,SA,33890,1,800S-  3
800,SA,33891,1,800S-  2
800,SA,33892,1,800S-  4
800,SA,33893,1,800S-  1
800,SA,33894,1,800S-  5
800,SA,33895,1,800S-  3
800,SA,33896,1,800S-  2
800,SA,33897,1,800S-  4
800,SA,33898,1,800S-  1
800,SA,33899,1,800S-  5
800,SA,33900,1,800S-  3
800,SA,33901,1,800S-  2
800,SA,33902,1,800S-  4
800,SA,33903,1,800S-  1
800,SA,33904,1,800S-  5
800,SA,33905,1,800S-  3
800,SA,33906,1,800S-  2
800,SA,33907,1,800S-  4
800,SA,33908,1,800S-  1
800,SA,33909,1,800S-  5
800,SA,33910,1,800S-  3
800,SA,33911,1,800S-  2
800,SA,33912,1,800S-  4
800,SA,33913,1,800S-  1
800,SA,33914,1,800S-  5
800,SA,33915,1,800S-  3
800,SA,33916,1,800S-  2
800,SA,33917,1,800S-  4
800,SA,33918,1,800S-  1
800,SA,33919,1,800S-  5
800,SA,33920,1,800S-  3
800,SA,33921,1,800S-  2
800,SA,33922,1,800S-  1
800,SA,33923,1,800S-  2
800,SA,33924,1,800S-  1
800,SA,33925,1,800S-  2
800,SA,33926,1,800S-  1
800,SA,33927,1,800S-  2
800,SA,33932,1,800S-  1
800,SA,33933,0,800S-  2
